"runId","scenario","scale","targetRps","requestCount","requestRate","iterationCount","iterationRate","droppedIterations","errorRate","checkRate","p50Ms","p90Ms","p95Ms","p99Ms","avgMs","maxMs","receivedBytes","sentBytes"
"auth-1-r1","auth-flow","100k","1","13169","109.74187599380804","3292","27.433385661144815",,"0","1","8.401428","11.724936000000003","14.159551199999985","22.023275639999998","8.823456771356984","406.311115","16912889","13322946"
"auth-1-r2","auth-flow","100k","1","15093","125.77691979811162","3773","31.442146584395093",,"0","1","7.849461","9.747386400000002","10.6812486","13.16906636","7.666045383422765","96.901606","19383666","15269553"
"auth-1-r3","auth-flow","100k","1","13957","116.2876188967082","3489","29.069821761883993",,"0","1","7.717624","9.5274558","10.400576199999998","12.794085880000017","7.5052956127391415","93.993987","17924833","14120205"
"auth-5-r1","auth-flow","100k","1","52809","439.9749668222367","13201","109.9833274066986",,"0.00009468083091897215","0.9999458973998291","8.544376","10.300216","10.9986614","14.602802199999998","8.267650859682956","163.88321","67821386","53420457"
"auth-5-r2","auth-flow","100k","1","51110","425.8449940016509","12777","106.45708253490695",,"0.00011739385638818235","0.9999440978511214","8.1913015","10.1887019","10.985353349999999","14.042889629999964","7.964016600039101","108.169692","65638263","51700482"
"auth-5-r3","auth-flow","100k","1","58221","485.09782527358203","14554","121.26404130866376",,"0.00006870373233025884","0.9999607412060302","8.259433","9.872036","10.555499","13.449365800000049","7.947796648219727","101.419106","74771912","58897068"
"auth-10-r1","auth-flow","100k","1","58696","489.05690735487315","14676","122.28089090125594",,"0.0002725909772386534","0.9999026384967384","9.101207500000001","19.6185265","40.342183500000004","46.65418855000002","11.854544124642132","282.523117","75379474","59361510"
"auth-10-r2","auth-flow","100k","1","72706","590.5540738455795","18174","147.61821222553243",,"0.00011003218441394107","0.9999371257014414","9.4492335","37.0901545","42.065620749999994","47.404276299999985","12.9775333968586","251.898126","93380135","73544238"
"auth-10-r3","auth-flow","100k","1","74959","576.6346671975821","18735","144.12212662851292",,"0.0000266812524179885","0.9999847541221042","9.434539","32.5123468","41.4134525","47.21650919999999","12.690198936391855","193.369032","96278764","75829806"
"auth-20-r1","auth-flow","100k","1","73209","609.6382434370262","18301","152.39915164994764",,"0.0002595309319892363","0.9998907206194579","12.040538","60.521674000000004","65.38900699999994","72.59718895999998","21.231879486046655","264.748855","94038840","74034072"
"auth-20-r2","auth-flow","100k","1","81836","681.7347858903624","20454","170.39204397333046",,"0.00017107385502712744","0.9999022469242693","10.9388515","57.4778465","62.730630250000004","69.81387659999997","18.740020326983295","432.301126","105124377","82767498"
"auth-20-r3","auth-flow","100k","1","82740","636.4904300547239","20680","159.08414422929283",,"0.00013294657964708727","0.999930938749577","13.3211035","60.9900697","65.0333669","71.83072495","23.972805953940167","551.574271","106287887","83685180"
"auth-40-r1","auth-flow","100k","1","89285","743.2687374805217","22312","185.74018111290138",,"0.0002128017024136193","0.9998848051607288","28.735595","82.47769140000001","87.85264780000003","99.15989604","45.96617973993399","1175.586435","114722252","90283137"
"auth-40-r2","auth-flow","100k","1","88708","738.456582964267","22167","184.53089997033985",,"0.0001916399873743067","0.9998904984895233","31.085206","84.31652860000001","91.8394903","100.38192775999997","47.56649875518547","1012.150166","113982718","89701389"
"auth-40-r3","auth-flow","100k","1","89880","748.334333686211","22460","187.0003241498921",,"0.00012238540275923455","0.9999300699300699","35.690281","84.55181420000001","92.07718700000001","99.87154216000002","49.386247470248875","1006.591651","115491282","90893280"
